,imgseq,timestamp,broken,mat
0,car01-frame000000.png,1530124348941801859,True,[]
1,car01-frame000001.png,1530124349141580148,True,[]
2,car01-frame000002.png,1530124349341750745,True,[]
3,car01-frame000003.png,1530124349541742455,True,[]
4,car01-frame000004.png,1530124349741748508,True,[]
5,car01-frame000005.png,1530124349941710632,True,[]
6,car01-frame000006.png,1530124350141833248,True,[]
7,car01-frame000007.png,1530124350341732681,True,[]
8,car01-frame000008.png,1530124350541773078,True,[]
9,car01-frame000009.png,1530124350741746775,True,[]
10,car01-frame000010.png,1530124350941622166,True,[]
11,car01-frame000011.png,1530124351141662412,True,[]
12,car01-frame000012.png,1530124351341701402,True,[]
13,car01-frame000013.png,1530124351541773402,True,[]
14,car01-frame000014.png,1530124351741728318,True,[]
15,car01-frame000015.png,1530124351941846379,True,[]
16,car01-frame000016.png,1530124352141773599,True,[]
17,car01-frame000017.png,1530124352341757236,True,[]
18,car01-frame000018.png,1530124352541687950,True,[]
19,car01-frame000019.png,1530124352741698924,True,[]
20,car01-frame000020.png,1530124352942132318,True,[]
21,car01-frame000021.png,1530124353141998206,True,[]
22,car01-frame000022.png,1530124353341740674,True,[]
23,car01-frame000023.png,1530124353541842398,True,[]
24,car01-frame000024.png,1530124353741636526,True,[]
25,car01-frame000025.png,1530124353941818124,True,[]
26,car01-frame000026.png,1530124354141622761,True,[]
27,car01-frame000027.png,1530124354341733526,True,[]
28,car01-frame000028.png,1530124354541775521,True,[]
29,car01-frame000029.png,1530124354742007861,True,[]
30,car01-frame000030.png,1530124354941957042,True,[]
31,car01-frame000031.png,1530124355142616318,True,[]
32,car01-frame000032.png,1530124355341598236,True,[]
33,car01-frame000033.png,1530124355541889719,True,[]
34,car01-frame000034.png,1530124355741627101,True,[]
35,car01-frame000035.png,1530124355941923979,True,[]
36,car01-frame000036.png,1530124356141789843,True,[]
37,car01-frame000037.png,1530124356342009820,True,[]
38,car01-frame000038.png,1530124356541786278,True,[]
39,car01-frame000039.png,1530124356742001619,True,[]
40,car01-frame000040.png,1530124356941829785,True,[]
41,car01-frame000041.png,1530124357141959866,True,[]
42,car01-frame000042.png,1530124357341792254,True,[]
43,car01-frame000043.png,1530124357541837314,True,[]
44,car01-frame000044.png,1530124357741606135,True,[]
45,car01-frame000045.png,1530124357941717502,True,[]
46,car01-frame000046.png,1530124358141638991,True,[]
47,car01-frame000047.png,1530124358341899029,True,[]
48,car01-frame000048.png,1530124358541666082,True,[]
49,car01-frame000049.png,1530124358741829425,True,[]
50,car01-frame000050.png,1530124358941654866,True,[]
51,car01-frame000051.png,1530124359141609577,True,[]
52,car01-frame000052.png,1530124359341984464,True,[]
53,car01-frame000053.png,1530124359542030832,True,[]
54,car01-frame000054.png,1530124359741705542,True,[]
55,car01-frame000055.png,1530124359941982095,True,[]
56,car01-frame000056.png,1530124360141577987,True,[]
57,car01-frame000057.png,1530124360342005938,True,[]
58,car01-frame000058.png,1530124360541653125,False,"[[ 0.9536541  -0.07464862 -0.2914986  -1.01152781]
 [ 0.29754581  0.08959308  0.95049438 -5.29672201]
 [-0.04483684 -0.99317706  0.1076522   0.20736824]
 [ 0.          0.          0.          1.        ]]"
59,car01-frame000059.png,1530124360741781352,True,[]
60,car01-frame000060.png,1530124360941620518,True,[]
61,car01-frame000061.png,1530124361141812130,True,[]
62,car01-frame000062.png,1530124361341706971,False,"[[ 0.97675244 -0.03076603 -0.21215117 -1.03729609]
 [ 0.21413454  0.093617    0.9723077  -5.13259707]
 [-0.01005309 -0.99513281  0.09802871  0.21275239]
 [ 0.          0.          0.          1.        ]]"
63,car01-frame000063.png,1530124361541762825,False,"[[ 0.98535488 -0.02754124 -0.16827725 -1.0439465 ]
 [ 0.16996661  0.07947318  0.98223997 -5.0486546 ]
 [-0.01367858 -0.99645647  0.08299038  0.21245033]
 [ 0.          0.          0.          1.        ]]"
64,car01-frame000064.png,1530124361741715449,True,[]
65,car01-frame000065.png,1530124361942012510,True,[]
66,car01-frame000066.png,1530124362141752336,True,[]
67,car01-frame000067.png,1530124362341703019,True,[]
68,car01-frame000068.png,1530124362541824496,False,"[[ 0.99879684 -0.02770452 -0.04046384 -1.04211274]
 [ 0.04085096  0.01355244  0.99907334 -4.7037001 ]
 [-0.02713046 -0.99952428  0.01466789  0.20950929]
 [ 0.          0.          0.          1.        ]]"
69,car01-frame000069.png,1530124362741887473,True,[]
70,car01-frame000070.png,1530124362941633954,True,[]
71,car01-frame000071.png,1530124363141754602,True,[]
72,car01-frame000072.png,1530124363341789669,True,[]
73,car01-frame000073.png,1530124363541637209,True,[]
